# ID	E [TeV]		RA(2000)	DEC(200)	err		Topology
HES3 	75.7 		08 31 36 	−31 12 00 	1.4 	Track 
HES4 	159.1 		11 17 59 	−51 12 00 	7.1 	Cascade 
HES5 	68.7 		07 22 23 	−00 24 00 	1.2 	Track 
HES9 	60.8 		10 05 11 	+33 36 00 	16.5 	Cascade 
HES10 	93.5 		00 19 59 	−29 24 00 	8.1 	Cascade 
HES11 	85.0 		10 21 12 	−08 54 00 	16.7 	Cascade 
HES12 	100.2 		19 44 24 	−52 48 00 	9.8 	Cascade 
HES13 	243.1 		04 31 36 	+40 18 00 	1.2 	Track 
HES14 	1001.4 		17 42 23 	−27 54 00 	13.2 	Cascade 
HES17 	192.2 		16 29 35 	+14 30 00 	11.6 	Cascade 
HES19 	68.8 		05 07 35 	−59 42 00 	9.7 	Cascade 
HES20 	1097.7 		02 33 11 	−67 12 00 	10.7 	Cascade 
HES22 	211.2 		19 34 48 	−22 06 00 	12.1 	Cascade 
HES23 	79.1 		13 54 47 	−13 12 00 	1.9 	Track 
HES26 	202.1 		09 33 35 	+22 42 00 	11.8 	Cascade 
HES30 	123.8 		06 52 47 	−82 42 00 	8.0 	Cascade 
HES33 	370.2 		19 30 00 	+07 48 00 	13.5 	Cascade 
HES35 	1928.0 		13 53 35 	−55 48 00 	15.9 	Cascade 
HES38 	193.0 		06 13 11 	+14 00 00 	1.2 	Track 
HES39 	97.5 		07 04 47 	−17 54 00 	14.2 	Cascade 
HES40 	151.4 		09 35 35 	−48 30 00 	11.7 	Cascade 
HES41 	84.2 		04 24 23 	+03 18 00 	11.1 	Cascade 
HES44 	81.4 		22 26 48 	+00 00 00 	1.2 	Track 
HES45 	413.6 		14 35 59 	−86 18 00 	1.2 	Track 
HES46 	152.0 		10 01 59 	−22 18 00 	7.6 	Cascade 
HES47 	71.5 		13 57 35 	+67 24 00 	1.2 	Track 
HES48 	100.8 		104 11 59 	−33 12 00 	8.1 	Cascade 
HES51 	63.7 		05 54 23 	+54 00 00 	6.5 	Cascade 
HES52 	152.2 		16 51 11 	−54 00 00 	7.8 	Cascade 
HES56 	104.2 		18 41 59 	−50 06 00 	6.5 	Cascade 
HES57 	132.1 		08 11 59 	−42 12 00 	14.4 	Cascade 
HES59 	124.6 		04 13 11 	−03 54 00 	8.8 	Cascade 
HES60 	93.0 		02 10 48 	−37 54 00 	13.3 	Cascade 
HES62 	75.8 		12 31 35 	+13 18 00 	1.3 	Track 
HES63 	97.4 		10 39 59 	+06 30 00 	1.2 	Track 
