# Catalog of  D < 15 Mpc mid-IR identified AGN
# Goulding, A.D. et al., 2010. Towards a Complete Census of
# AGNs in Nearby Galaxies: The Incidence of Growing Black Holes.
# Mon. Not. Roy. Astron. Soc., 406(1), pp.597–611.
#
# name		glon		glat		D [Mpc]
E121-G006	270.5000	-28.5000	14.5			
NGC0613		229.0769	-80.2923	15.0
NGC0660		141.6073	-47.3469	12.3
NGC1068		172.0746	-51.9141	13.7
NGC1448		251.5223	-51.3940	11.5
NGC1792		241.6955	-36.4528	12.5
NGC3621		281.2128	26.0998		6.6
NGC3627		241.9615	64.4185		10.0
NGC3628		240.8516	64.7808		10.0
NGC4051		148.8826	70.0853		13.1
NGC4945		305.2715	13.3402		3.9
NGC5033		98.0585		79.4480		13.8
NGC5128		309.5159	19.4173		4.0
NGC5194		104.8516	68.5607		8.6
NGC5195		104.8816	68.4880		8.3
NGC5643		321.4429 	15.0280		13.9
NGC6300		328.4915	-14.0522	13.1
